pair_id,contrast,heat_color_map,hsv_hue,hsv_saturation,hsv_value,texture
116,0.5512,0.6771,0.4556,0.4899,0.5316,0.7566
117,0.705,0.7793,0.6022,0.6319,0.6606,0.8188
118,0.6326,0.7065,0.6097,0.5846,0.6923,0.8007
119,0.7009,0.8259,0.6634,0.7429,0.8421,0.8582
120,0.7879,0.8734,0.6859,0.7087,0.8037,0.8453
121,0.676,0.6968,0.6772,0.6488,0.6546,0.7331
122,0.4686,0.652,0.6027,0.6721,0.4591,0.6257
123,0.6241,0.5932,0.5351,0.4419,0.7231,0.6864
124,0.6085,0.7274,0.7749,0.6057,0.7392,0.6094
125,0.7272,0.7029,0.5423,0.6243,0.6903,0.7454
126,0.5385,0.6474,0.6822,0.4361,0.6111,0.647
127,0.5794,0.7913,0.6668,0.6035,0.647,0.7746
128,0.5494,0.7249,0.5492,0.5592,0.6135,0.8151
129,0.6927,0.5561,0.2667,0.6972,0.6894,0.6755
130,0.6379,0.6208,0.5852,0.6976,0.607,0.591
131,0.6015,0.6861,0.6953,0.6841,0.5886,0.7843
132,0.6613,0.773,0.8244,0.7886,0.7446,0.735
133,0.5831,0.6325,0.7486,0.3736,0.468,0.6383
134,0.4289,0.6931,0.5929,0.5557,0.6393,0.5963
135,0.7306,0.787,0.7822,0.5909,0.6505,0.8906
136,0.7027,0.8102,0.7404,0.7049,0.7311,0.7457
137,0.7303,0.7675,0.5368,0.6422,0.6917,0.788
138,0.4511,0.5841,0.4527,0.5158,0.6139,0.639
139,0.7318,0.8207,0.7257,0.7362,0.6415,0.876
140,0.3556,0.7097,0.7449,0.4394,0.5274,0.767
141,0.7027,0.6753,0.7725,0.6141,0.5604,0.8016
142,0.5838,0.786,0.689,0.5227,0.6561,0.6996
143,0.518,0.622,0.5743,0.5005,0.5315,0.6663
144,0.5839,0.7771,0.7369,0.5068,0.6724,0.7805
145,0.7487,0.8442,0.6272,0.6929,0.7562,0.9094
146,0.6215,0.7607,0.4624,0.5748,0.7648,0.8762
147,0.6428,0.7413,0.4301,0.4063,0.5815,0.8126
148,0.6821,0.803,0.4851,0.6819,0.5763,0.8131
149,0.576,0.684,0.5801,0.6096,0.644,0.5707
150,0.6737,0.8832,0.8053,0.6448,0.6486,0.8935
151,0.7827,0.8542,0.4554,0.7637,0.8098,0.6854
152,0.7991,0.7533,0.754,0.7627,0.8329,0.9264
153,0.83,0.8579,0.6596,0.5892,0.8279,0.8759
154,0.796,0.7835,0.7258,0.7294,0.6756,0.86
155,0.754,0.858,0.7047,0.7631,0.8073,0.8306
156,0.7932,0.8379,0.5842,0.7941,0.6803,0.8706
157,0.9292,0.918,0.4793,0.816,0.7919,0.817
158,0.8797,0.8448,0.4555,0.8055,0.9003,0.8674
159,0.6224,0.8597,0.5217,0.8423,0.7076,0.8759
160,0.7819,0.8327,0.467,0.6848,0.8489,0.7582
161,0.7998,0.7894,0.6632,0.6827,0.8187,0.7275
162,0.774,0.9048,0.5567,0.6927,0.7466,0.8922
163,0.7393,0.906,0.5361,0.682,0.8404,0.8327
164,0.6513,0.7776,0.5905,0.6901,0.6703,0.8088
165,0.7352,0.84,0.4496,0.7526,0.8016,0.7106
166,0.7407,0.9141,0.6048,0.677,0.8675,0.913
167,0.8543,0.7684,0.7493,0.6757,0.7976,0.8814
168,0.798,0.8895,0.7489,0.5881,0.7534,0.8023
169,0.7362,0.8731,0.6254,0.8812,0.8326,0.8733
170,0.5632,0.8376,0.7787,0.587,0.7925,0.7548
171,0.7861,0.8712,0.6036,0.8631,0.7909,0.8945
172,0.8323,0.8479,0.6624,0.7834,0.7926,0.8255
173,0.8707,0.9233,0.8038,0.8725,0.8941,0.8533
174,0.5488,0.8677,0.8381,0.7663,0.7872,0.8207
175,0.8685,0.8554,0.8208,0.884,0.8941,0.929
176,0.7669,0.8839,0.7791,0.882,0.7598,0.7298
177,0.8514,0.8104,0.6861,0.7194,0.8054,0.8552
178,0.7026,0.8407,0.5602,0.7278,0.7601,0.8196
179,0.808,0.7878,0.7481,0.7883,0.8163,0.7942
180,0.9079,0.9368,0.6672,0.8171,0.8902,0.8011
181,0.7059,0.8369,0.8721,0.661,0.805,0.8524
182,0.9213,0.9115,0.8287,0.8125,0.8959,0.8812
183,0.7931,0.8906,0.7751,0.7123,0.841,0.8981
184,0.8555,0.9475,0.6438,0.8153,0.8665,0.9277
185,0.8188,0.843,0.8232,0.7319,0.8446,0.7076
186,0.8226,0.835,0.8044,0.8299,0.7995,0.8046
187,0.9017,0.8991,0.5082,0.8145,0.8552,0.8093
188,0.7015,0.8274,0.6532,0.7722,0.7177,0.8661
189,0.9215,0.87,0.8588,0.6833,0.8552,0.8502
190,0.751,0.861,0.7414,0.7597,0.7897,0.8424
191,0.792,0.8799,0.7152,0.8156,0.8675,0.8667
192,0.7785,0.8943,0.8581,0.8162,0.8405,0.8578
193,0.6318,0.8089,0.5004,0.4882,0.873,0.8297
194,0.808,0.8693,0.6412,0.8471,0.8571,0.8634
195,0.7975,0.9099,0.7692,0.7692,0.8589,0.8134
196,0.7238,0.8592,0.7972,0.765,0.7028,0.8899
197,0.8384,0.9123,0.7692,0.7904,0.8053,0.9189
198,0.6896,0.7716,0.6901,0.7417,0.721,0.7249
199,0.8193,0.93,0.7606,0.6892,0.7269,0.9577
200,0.8181,0.8587,0.8898,0.7455,0.8435,0.8484
201,0.9013,0.929,0.925,0.8162,0.8103,0.794
202,0.8584,0.9308,0.7784,0.8259,0.8859,0.881
203,0.8018,0.8766,0.5997,0.7379,0.8722,0.8695
204,0.86,0.8432,0.803,0.6632,0.9048,0.8966
205,0.8524,0.9096,0.6549,0.7718,0.8808,0.9107
206,0.7275,0.8631,0.3706,0.6064,0.8404,0.8021
207,0.9363,0.9044,0.8517,0.9013,0.9693,0.9199
208,0.8156,0.8771,0.7003,0.8999,0.8603,0.8347
209,0.8005,0.8993,0.7125,0.8548,0.8036,0.912
210,0.7902,0.8489,0.8499,0.8239,0.8074,0.8225
211,0.7165,0.8133,0.3908,0.6856,0.6404,0.7937
212,0.7726,0.8949,0.5956,0.8531,0.9034,0.9017
213,0.7821,0.8597,0.7615,0.7257,0.7261,0.8032
214,0.8634,0.8579,0.7022,0.7261,0.8512,0.8055
215,0.8879,0.9233,0.7848,0.7201,0.9075,0.9139
216,0.7543,0.9091,0.681,0.7809,0.786,0.8798
217,0.7892,0.8265,0.7374,0.7626,0.8133,0.7011
218,0.8545,0.8627,0.7343,0.7684,0.8973,0.8195
219,0.68,0.8843,0.6487,0.7605,0.8265,0.865
220,0.7827,0.8592,0.854,0.8033,0.7442,0.8472
221,0.7974,0.883,0.8642,0.6719,0.7282,0.7693
222,0.8129,0.8757,0.7507,0.8482,0.7804,0.809
223,0.8347,0.9455,0.7076,0.7722,0.9211,0.9069
224,0.7224,0.7658,0.6312,0.6977,0.8365,0.8762
225,0.7236,0.8722,0.8846,0.8444,0.8297,0.7563
226,0.7196,0.7837,0.7902,0.7356,0.8312,0.7932
227,0.9093,0.9197,0.8712,0.8502,0.9103,0.9011
228,0.8352,0.8232,0.7445,0.7931,0.9411,0.886
229,0.9102,0.8216,0.7534,0.7364,0.8873,0.8425
230,0.7856,0.769,0.644,0.6926,0.8177,0.8367
231,0.7893,0.8294,0.7998,0.7343,0.833,0.8485
232,0.7029,0.9074,0.7905,0.7333,0.862,0.8131
233,0.8318,0.8777,0.802,0.6632,0.9082,0.9065
234,0.8051,0.8445,0.4808,0.7456,0.8918,0.8425
235,0.7605,0.7968,0.8589,0.6292,0.8463,0.7743
236,0.7132,0.8701,0.7468,0.6784,0.7549,0.886
237,0.6953,0.8216,0.4367,0.6748,0.7459,0.8488
238,0.8376,0.9266,0.7709,0.7636,0.8845,0.8337
239,0.8291,0.7031,0.767,0.6366,0.8029,0.6348
240,0.8172,0.792,0.573,0.7782,0.8055,0.8756
